call_path,py_component,c_component,c_path
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_group_norm_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_imperative_tensor_clear_gradient.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_imperative_tensor_clear_gradient.py,linear,eager_api_linear,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_custom_python_api.h
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_truncated_gaussian_random_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\distributed\passes\fuse_all_reduce.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\distributed\passes\fuse_all_reduce.py,Node,Node,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\ir.cc
F:\python_workplace\Paddle-develop\python\paddle\distributed\passes\fuse_all_reduce.py,size_of_dtype,SizeOfType,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_cluster_v2.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_cluster_v2.py,Device,Device,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\auto_parallel_py.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\collective\fleet\test_parallel_dygraph_qat.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\tests\test_read_file.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_uniform_random_bf16_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_uniform_random_bf16_op.py,VarDesc,VarDesc,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\protobuf.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_uniform_random_bf16_op.py,get_tensor,tensor_method_get_underline_tensor,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_imperative_signal_handler.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\net_drawer.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_fleet_executor_cond_interceptor.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\npu\test_while_op_npu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_buffer_shared_memory_reuse_pass.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_buffer_shared_memory_reuse_pass.py,BuildStrategy,BuildStrategy,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\parallel_executor.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_ftrl_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_merge_selectedrows_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_fleet_executor_task_node.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_auto_parallel_searcher.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_auto_parallel_searcher.py,OperatorDistAttr,OperatorDistAttr,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\auto_parallel_py.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_auto_parallel_searcher.py,TensorDistAttr,TensorDistAttr,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\auto_parallel_py.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_dist_scale.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_corr.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\device\__init__.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\device\__init__.py,CustomPlace,CustomPlace,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\place.cc
F:\python_workplace\Paddle-develop\python\paddle\device\__init__.py,is_compiled_with_cuda,IsCompiledWithCUDA,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\device\__init__.py,get_all_custom_device_type,lambda expression,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_adagrad_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_adagrad_op.py,clear_gradients,lambda expression,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_adagrad_op.py,scale,eager_api_scale,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_functions.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_prune_gate_by_capacity_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_fleet_executor_with_task_nodes.py,all calls is excessive,,
